City_ID,City,Lat,Lng,Max Temp(C),Humidity(%),Cloudiness(%),Wind Speed(mph),Country,Date
0,kani keli,-12.9536,45.1033,27.590000000000032,75,51,4.34,YT,1702004423
1,wynyard,-41.0,145.7167,17.650000000000034,77,61,3.58,AU,1702004423
2,ribeira grande,38.5167,-28.7,19.870000000000005,95,100,11.62,PT,1702004424
3,les avirons,-21.2418,55.3394,24.100000000000023,83,20,1.54,RE,1702004424
4,badger,64.8,-147.5333,-18.129999999999967,84,75,0.0,US,1702004425
5,bethel,41.3712,-73.414,1.4700000000000273,83,100,2.57,US,1702004186
6,port-aux-francais,-49.35,70.2167,4.490000000000009,85,97,15.54,TF,1702004426
7,karachayevsk,43.774,41.9142,6.080000000000041,68,100,1.52,RU,1702004427
8,quellon,-43.1167,-73.6167,8.870000000000005,92,2,2.93,CL,1702004428
9,qaqortoq,60.7167,-46.0333,3.180000000000007,54,100,6.8,GL,1702004429
10,kirakira,-10.4544,161.9205,28.810000000000002,75,66,5.07,SB,1702004431
11,gaiman,-43.2897,-65.4929,12.010000000000048,67,0,5.79,AR,1702004432
12,rongelap,11.1635,166.8941,27.400000000000034,83,34,9.53,MH,1702004434
13,mount pleasant,32.7941,-79.8626,9.990000000000009,89,0,0.0,US,1702004270
14,grytviken,-54.2811,-36.5092,-1.3199999999999932,88,60,4.53,GS,1702004436
15,balikpapan,-1.2675,116.8289,28.55000000000001,79,20,2.57,ID,1702004439
16,vorgashor,67.5833,63.95,-24.69999999999999,99,100,1.57,RU,1702004440
17,gaspe,48.8334,-64.4819,-4.0499999999999545,68,40,5.66,CA,1702004423
18,tiksi,71.6872,128.8694,-33.52999999999997,100,90,1.69,RU,1702004440
19,afaahiti,-17.75,-149.2833,25.930000000000007,85,100,8.6,PF,1702004441
20,hithadhoo,-0.6,73.0833,27.980000000000018,75,95,4.74,MV,1702004441
21,mendaha,-1.0333,103.5833,30.350000000000023,65,97,2.29,ID,1702004443
22,kingston,17.997,-76.7936,27.53000000000003,78,20,2.57,JM,1702004406
23,ushuaia,-54.8,-68.3,6.810000000000002,86,0,8.05,AR,1702004443
24,adamstown,-25.066,-130.1015,23.010000000000048,78,87,4.21,PN,1702004444
25,mar del plata,-38.0023,-57.5575,14.490000000000009,76,0,3.58,AR,1702004278
26,wailua homesteads,22.0669,-159.378,23.810000000000002,83,81,0.76,US,1702004444
27,longyearbyen,78.2186,15.6401,-1.089999999999975,69,40,6.69,SJ,1702004444
28,ancud,-41.8697,-73.8203,9.150000000000034,90,0,1.5,CL,1702004350
29,bredasdorp,-34.5322,20.0403,16.78000000000003,80,0,3.22,ZA,1702004445
30,nguigmi,14.2495,13.1092,20.310000000000002,27,100,5.04,NE,1702004445
31,puerto natales,-51.7236,-72.4875,8.29000000000002,90,92,1.53,CL,1702004447
32,greymouth,-42.4667,171.2,15.930000000000007,64,16,3.88,NZ,1702004447
33,papatowai,-46.5619,169.4708,17.52000000000004,54,100,4.72,NZ,1702004448
34,new norfolk,-42.7826,147.0587,21.720000000000027,22,86,1.74,AU,1702004448
35,berdigestyakh,62.0989,126.6992,-35.17999999999998,95,100,2.42,RU,1702004448
36,utrik,11.2278,169.8474,27.590000000000032,76,68,9.99,MH,1702004449
37,katsuren-haebaru,26.3369,127.8719,23.430000000000007,50,0,4.63,JP,1702004449
38,vila franca do campo,37.7167,-25.4333,19.230000000000018,99,100,8.38,PT,1702004450
39,lebu,-37.6167,-73.65,12.080000000000041,86,0,6.71,CL,1702004450
40,sitka,57.0531,-135.33,2.9399999999999977,87,75,3.6,US,1702004451
41,nemuro,43.3236,145.575,3.0,54,26,11.53,JP,1702004451
42,portales,34.1862,-103.3344,14.960000000000036,27,100,6.76,US,1702004451
43,saldanha,-33.0117,17.9442,18.03000000000003,90,0,3.37,ZA,1702004452
44,invercargill,-46.4,168.35,16.850000000000023,60,100,4.58,NZ,1702004452
45,essaouira,31.5125,-9.77,17.720000000000027,77,31,3.6,MA,1702004226
46,langepas,61.2544,75.2124,-25.409999999999968,90,100,4.81,RU,1702004453
47,burang,30.25,81.1667,-9.329999999999984,56,0,1.39,CN,1702004453
48,waitangi,-43.9535,-176.5597,14.900000000000034,71,86,0.89,NZ,1702004453
49,luderitz,-26.6481,15.1594,15.930000000000007,72,0,5.46,NA,1702004454
50,college,64.8569,-147.8028,-18.079999999999984,83,75,0.0,US,1702004382
51,manta,-0.95,-80.7333,24.879999999999995,83,75,4.12,EC,1702004455
52,ormara,25.2088,64.6357,22.140000000000043,58,0,2.19,PK,1702004455
53,tadmur,34.5608,38.2805,12.78000000000003,84,45,0.73,SY,1702004455
54,geraldton,-28.7667,114.6,26.230000000000018,36,0,10.29,AU,1702004456
55,margaret river,-33.95,115.0667,19.07000000000005,53,32,7.0,AU,1702004457
56,whitehorse,60.7161,-135.0538,-4.569999999999993,85,75,6.17,CA,1702004457
57,portland,45.5234,-122.6762,8.120000000000005,93,75,2.24,US,1702004170
58,brandys nad labem-stara boleslav,50.1871,14.6633,1.6400000000000432,75,100,3.6,CZ,1702004457
59,ajjampur,13.7281,76.0094,23.420000000000016,73,89,2.77,IN,1702004458
60,mount pearl,47.5166,-52.7813,-3.25,82,40,12.35,CA,1702004458
61,nar'yan-mar,67.6713,53.087,-14.379999999999995,96,100,3.58,RU,1702004458
62,howrah,22.5892,88.3103,20.0,88,100,3.6,IN,1702004459
63,yellowknife,62.456,-114.3525,-10.70999999999998,92,100,2.06,CA,1702004459
64,blackmans bay,-43.0167,147.3167,21.07000000000005,62,76,4.44,AU,1702004459
65,plastun,44.7561,136.2939,-3.1200000000000045,42,100,1.81,RU,1702004459
66,west island,-12.1568,96.8225,27.99000000000001,74,40,6.69,CC,1702004460
67,port alfred,-33.5906,26.891,16.77000000000004,87,11,1.34,ZA,1702004460
68,santa cruz,-17.8,-63.1667,28.700000000000045,61,75,1.54,BO,1702004409
69,rabaul,-4.1967,152.1721,29.0,74,61,7.63,PG,1702004460
70,tolanaro,-25.0319,46.9987,23.04000000000002,83,40,6.17,MG,1702004461
71,hermanus,-34.4187,19.2345,17.890000000000043,85,10,2.89,ZA,1702004461
72,praia da vitoria,38.7333,-27.0667,20.140000000000043,88,75,13.33,PT,1702004461
73,nova sintra,14.8667,-24.7167,21.890000000000043,68,2,2.75,CV,1702004461
74,edinburgh of the seven seas,-37.0676,-12.3116,14.950000000000045,85,100,7.25,SH,1702004462
75,fort collins,40.5853,-105.0844,11.090000000000032,42,20,5.81,US,1702003947
76,vorkuta,67.5,64.0,-24.67999999999998,99,100,1.65,RU,1702004463
77,bilibino,68.0546,166.4372,-36.819999999999965,99,63,1.06,RU,1702004369
78,dongfeng,42.6403,125.5118,6.460000000000036,77,41,8.24,CN,1702004464
79,emerald,-23.5333,148.1667,34.44,25,0,8.73,AU,1702004434
80,kabare,-2.4683,28.8242,15.660000000000025,93,38,0.85,CD,1702004464
81,susuman,62.7833,148.1667,-25.569999999999965,97,100,0.45,RU,1702004464
82,kashgar,39.4547,75.9797,3.5600000000000023,41,75,4.0,CN,1702004458
83,anadyr,64.75,177.4833,-20.71999999999997,84,6,12.0,RU,1702004465
84,saipan,15.1355,145.701,28.180000000000007,76,64,8.9,MP,1702004465
85,nagqu,31.5,92.0,-6.949999999999989,84,100,0.74,CN,1702004466
86,yeppoon,-23.1333,150.7333,29.879999999999995,61,29,8.07,AU,1702004466
87,albany,42.6001,-73.9662,-0.9099999999999682,88,75,0.29,US,1702004232
88,goundam,16.4145,-3.6708,21.78000000000003,15,0,3.35,ML,1702004467
89,haiku-pauwela,20.9219,-156.3051,25.140000000000043,74,43,0.89,US,1702004467
90,san pedro pochutla,15.7333,-96.4667,24.260000000000048,72,18,1.59,MX,1702004467
91,mariehamn,60.0973,19.9348,0.4600000000000364,93,100,4.63,AX,1702004468
92,humberto de campos,-2.5983,-43.4611,26.150000000000034,82,41,3.51,BR,1702004468
93,dudinka,69.4058,86.1778,-31.849999999999966,96,7,2.68,RU,1702004469
94,keflavik,64.0049,-22.5624,0.2400000000000091,69,0,5.66,IS,1702004469
95,ust-nera,64.5667,143.2,-28.73999999999998,98,100,3.13,RU,1702004469
96,egilsstadir,65.2653,-14.3948,-2.0499999999999545,69,75,3.6,IS,1702004470
97,st. john's,47.5649,-52.7093,-2.7899999999999636,81,40,12.35,CA,1702004470
98,campo grande,-20.4428,-54.6464,26.75,65,20,3.6,BR,1702003902
99,bahia de caraquez,-0.6,-80.4167,25.100000000000023,84,77,2.92,EC,1702004470
100,machina,13.1364,10.0492,19.170000000000016,21,100,3.79,NG,1702004471
101,hami,42.8,93.45,0.5600000000000023,43,100,4.65,CN,1702004471
102,nantucket,41.2835,-70.0995,0.08000000000004093,59,9,6.54,US,1702004472
103,udachny,66.4167,112.4,-27.529999999999973,75,100,1.55,RU,1702004472
104,tomatlan,19.9333,-105.25,22.510000000000048,81,36,1.24,MX,1702004472
105,port elizabeth,-33.918,25.5701,18.160000000000025,88,75,9.26,ZA,1702004473
106,tafuna,-14.3358,-170.72,27.82000000000005,80,84,5.92,AS,1702004473
107,aranyaprathet,13.6928,102.5013,27.760000000000048,63,92,3.38,TH,1702004473
108,wuhai,39.6647,106.8122,5.210000000000036,38,9,6.51,CN,1702004474
109,port lincoln,-34.7333,135.8667,23.54000000000002,52,100,4.19,AU,1702004475
110,talara,-4.5772,-81.2719,21.420000000000016,83,0,7.72,PE,1702004475
111,sao vicente,-23.9631,-46.3919,29.590000000000032,26,100,0.36,BR,1702004473
112,slave lake,55.2834,-114.769,-7.009999999999991,86,0,1.54,CA,1702004428
113,champua,22.0833,85.6667,18.310000000000002,88,94,3.03,IN,1702004476
114,saint-joseph,-21.3667,55.6167,25.260000000000048,83,41,3.86,RE,1702004476
115,puerto ayora,-0.7393,-90.3518,24.189999999999998,96,45,2.24,EC,1702004476
116,kindu,-2.95,25.95,20.960000000000036,100,99,0.52,CD,1702004477
117,itaituba,-4.2761,-55.9836,24.010000000000048,98,100,0.58,BR,1702004477
118,talnakh,69.4865,88.3972,-33.839999999999975,85,5,1.48,RU,1702004478
119,isafjordur,66.0755,-23.124,-2.599999999999966,79,59,3.65,IS,1702004478
120,klyuchi,52.2667,79.1667,-22.74999999999997,74,95,3.53,RU,1702004468
121,dakhla,23.6848,-15.958,19.27000000000004,74,42,7.33,EH,1702004479
122,constantia,44.1833,28.65,0.3900000000000432,85,100,7.49,RO,1702004479
123,revda,56.801,59.9303,-32.389999999999986,95,5,0.94,RU,1702004480
124,ati,13.2154,18.3353,21.140000000000043,13,99,4.41,TD,1702004480
125,vernon,50.2581,-119.2691,4.230000000000018,87,100,0.51,CA,1702004276
126,taroa,8.7058,171.2275,27.77000000000004,84,46,10.48,MH,1702004481
127,zalegoshch',52.9008,36.8869,-10.949999999999989,91,100,5.2,RU,1702004481
